날짜,실거래가(평균),나스닥,다우존스,코스피,지가변동률,동행지수,소비자물가지수,생산자물가,거래량
2007년 11월 19일,483.2,2593.4,12958.44,1926.2,0.656,85.4,78.026,89.27,180
2007년 11월 20일,483.2,2596.8,13010.14,1893.47,0.656,85.4,78.026,89.27,180
2007년 11월 21일,483.2,2562.1,12799.04,1872.24,0.656,85.4,78.026,89.27,180
2007년 11월 23일,483.2,2596.6,12980.88,1806.99,0.656,85.4,78.026,89.27,180
2007년 11월 26일,483.2,2541,12743.44,1799.02,0.656,85.4,78.026,89.27,180
2007년 11월 27일,483.2,2580.8,12958.44,1772.88,0.656,85.4,78.026,89.27,180
2007년 11월 28일,483.2,2662.9,13289.45,1855.33,0.656,85.4,78.026,89.27,180
2007년 11월 29일,483.2,2668.1,13311.73,1859.79,0.656,85.4,78.026,89.27,180
2007년 11월 30일,483.2,2661,13371.72,1834.69,0.656,85.4,78.026,89.27,180
2007년 12월 03일,492.7,2637.1,13314.57,1877.56,0.627,86,78.248,89.63,169
2007년 12월 04일,492.7,2619.8,13248.73,1906,0.627,86,78.248,89.63,169
2007년 12월 05일,492.7,2666.4,13444.96,1902.43,0.627,86,78.248,89.63,169
2007년 12월 06일,492.7,2709,13619.89,1917.83,0.627,86,78.248,89.63,169
2007년 12월 07일,492.7,2706.2,13625.58,1938.2,0.627,86,78.248,89.63,169
2007년 12월 10일,492.7,2718.9,13727.03,1953.17,0.627,86,78.248,89.63,169
2007년 12월 11일,492.7,2652.4,13432.77,1934.32,0.627,86,78.248,89.63,169
2007년 12월 12일,492.7,2671.1,13473.9,1906.42,0.627,86,78.248,89.63,169
2007년 12월 13일,492.7,2668.5,13517.96,1925.07,0.627,86,78.248,89.63,169
2007년 12월 14일,492.7,2635.7,13339.85,1927.45,0.627,86,78.248,89.63,169
2007년 12월 17일,492.7,2574.5,13167.2,1915.9,0.627,86,78.248,89.63,169
2007년 12월 18일,492.7,2596,13232.47,1895.05,0.627,86,78.248,89.63,169
2007년 12월 19일,492.7,2601,13207.27,1839.82,0.627,86,78.248,89.63,169
2007년 12월 20일,492.7,2640.9,13245.64,1861.47,0.627,86,78.248,89.63,169
2007년 12월 21일,492.7,2692,13450.65,1844.37,0.627,86,78.248,89.63,169
